suite,track,test,title,feature,elements,status,visual_status,issue_type,reason,changed_ratio,content_changed_ratio,mae,source,reference_image,rendered_image,diff_image,upstream
resvg-test-suite,diagnostic,painting/stroke/pattern-with-objectBoundingBox-on-zero-bbox-shape.svg,Pattern with `objectBoundingBox` on zero bbox shape,painting/stroke,line|pattern|rect|svg,PASS,PASS,none,visual-match,0.0,0.0,0.010666666666666666,corpora/resvg-test-suite/svg/painting/stroke/pattern-with-objectBoundingBox-on-zero-bbox-shape.svg,corpora/resvg-test-suite/reference/painting/stroke/pattern-with-objectBoundingBox-on-zero-bbox-shape.png,assets/rendered/resvg-test-suite/painting/stroke/pattern-with-objectBoundingBox-on-zero-bbox-shape.png,assets/diff/resvg-test-suite/painting/stroke/pattern-with-objectBoundingBox-on-zero-bbox-shape.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/painting/stroke/pattern-with-objectBoundingBox-on-zero-bbox-shape.svg
resvg-test-suite,diagnostic,painting/stroke/pattern.svg,Pattern,painting/stroke,pattern|rect|svg,FAIL,FAIL,visual-mismatch,visual-diff,0.033016,0.5186385737439222,4.075074666666667,corpora/resvg-test-suite/svg/painting/stroke/pattern.svg,corpora/resvg-test-suite/reference/painting/stroke/pattern.png,assets/rendered/resvg-test-suite/painting/stroke/pattern.png,assets/diff/resvg-test-suite/painting/stroke/pattern.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/painting/stroke/pattern.svg
resvg-test-suite,diagnostic,painting/stroke/radial-gradient-on-text.svg,Radial gradient on text,painting/stroke,radialGradient|rect|stop|svg|text,FAIL,FAIL,visual-mismatch,visual-diff,0.070044,0.7266827450120588,11.560496,corpora/resvg-test-suite/svg/painting/stroke/radial-gradient-on-text.svg,corpora/resvg-test-suite/reference/painting/stroke/radial-gradient-on-text.png,assets/rendered/resvg-test-suite/painting/stroke/radial-gradient-on-text.png,assets/diff/resvg-test-suite/painting/stroke/radial-gradient-on-text.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/painting/stroke/radial-gradient-on-text.svg
resvg-test-suite,diagnostic,painting/stroke/radial-gradient.svg,Radial gradient,painting/stroke,radialGradient|rect|stop|svg,FAIL,FAIL,visual-mismatch,visual-diff,0.001468,0.004832762707400579,5.025408,corpora/resvg-test-suite/svg/painting/stroke/radial-gradient.svg,corpora/resvg-test-suite/reference/painting/stroke/radial-gradient.png,assets/rendered/resvg-test-suite/painting/stroke/radial-gradient.png,assets/diff/resvg-test-suite/painting/stroke/radial-gradient.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/painting/stroke/radial-gradient.svg
resvg-test-suite,diagnostic,painting/visibility/bbox-impact-1.svg,BBox impact (1),painting/visibility,circle|clipPath|g|rect|svg,FAIL,FAIL,visual-mismatch,visual-diff,0.067636,0.14296521724179434,10.867129333333333,corpora/resvg-test-suite/svg/painting/visibility/bbox-impact-1.svg,corpora/resvg-test-suite/reference/painting/visibility/bbox-impact-1.png,assets/rendered/resvg-test-suite/painting/visibility/bbox-impact-1.png,assets/diff/resvg-test-suite/painting/visibility/bbox-impact-1.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/painting/visibility/bbox-impact-1.svg
resvg-test-suite,diagnostic,painting/visibility/bbox-impact-2.svg,BBox impact (2),painting/visibility,circle|clipPath|g|rect|svg,FAIL,FAIL,visual-mismatch,visual-diff,0.067636,0.14296521724179434,10.867129333333333,corpora/resvg-test-suite/svg/painting/visibility/bbox-impact-2.svg,corpora/resvg-test-suite/reference/painting/visibility/bbox-impact-2.png,assets/rendered/resvg-test-suite/painting/visibility/bbox-impact-2.png,assets/diff/resvg-test-suite/painting/visibility/bbox-impact-2.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/painting/visibility/bbox-impact-2.svg
resvg-test-suite,diagnostic,painting/visibility/bbox-impact-3.svg,BBox impact (3),painting/visibility,circle|clipPath|g|path|rect|svg|text,FAIL,FAIL,visual-mismatch,visual-diff,0.015236,0.3171693097442479,3.167792,corpora/resvg-test-suite/svg/painting/visibility/bbox-impact-3.svg,corpora/resvg-test-suite/reference/painting/visibility/bbox-impact-3.png,assets/rendered/resvg-test-suite/painting/visibility/bbox-impact-3.png,assets/diff/resvg-test-suite/painting/visibility/bbox-impact-3.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/painting/visibility/bbox-impact-3.svg
resvg-test-suite,diagnostic,painting/visibility/collapse-on-tspan.svg,`collapse` on `tspan`,painting/visibility,path|rect|svg|text|tspan,FAIL,FAIL,visual-mismatch,visual-diff,0.014376,0.3019316776096679,2.550708,corpora/resvg-test-suite/svg/painting/visibility/collapse-on-tspan.svg,corpora/resvg-test-suite/reference/painting/visibility/collapse-on-tspan.png,assets/rendered/resvg-test-suite/painting/visibility/collapse-on-tspan.png,assets/diff/resvg-test-suite/painting/visibility/collapse-on-tspan.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/painting/visibility/collapse-on-tspan.svg
resvg-test-suite,diagnostic,painting/visibility/hidden-on-group.svg,`hidden` on group,painting/visibility,g|rect|svg,FAIL,FAIL,visual-mismatch,visual-diff,0.6464,0.9642039291310112,81.71060666666666,corpora/resvg-test-suite/svg/painting/visibility/hidden-on-group.svg,corpora/resvg-test-suite/reference/painting/visibility/hidden-on-group.png,assets/rendered/resvg-test-suite/painting/visibility/hidden-on-group.png,assets/diff/resvg-test-suite/painting/visibility/hidden-on-group.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/painting/visibility/hidden-on-group.svg
resvg-test-suite,diagnostic,painting/visibility/hidden-on-shape.svg,`hidden` on shape,painting/visibility,rect|svg,FAIL,FAIL,visual-mismatch,visual-diff,0.6464,0.9642039291310112,81.71060666666666,corpora/resvg-test-suite/svg/painting/visibility/hidden-on-shape.svg,corpora/resvg-test-suite/reference/painting/visibility/hidden-on-shape.png,assets/rendered/resvg-test-suite/painting/visibility/hidden-on-shape.png,assets/diff/resvg-test-suite/painting/visibility/hidden-on-shape.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/painting/visibility/hidden-on-shape.svg
resvg-test-suite,diagnostic,painting/visibility/hidden-on-tspan.svg,`hidden` on `tspan`,painting/visibility,path|rect|svg|text|tspan,FAIL,FAIL,visual-mismatch,visual-diff,0.014376,0.3019316776096679,2.550708,corpora/resvg-test-suite/svg/painting/visibility/hidden-on-tspan.svg,corpora/resvg-test-suite/reference/painting/visibility/hidden-on-tspan.png,assets/rendered/resvg-test-suite/painting/visibility/hidden-on-tspan.png,assets/diff/resvg-test-suite/painting/visibility/hidden-on-tspan.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/painting/visibility/hidden-on-tspan.svg
resvg-test-suite,diagnostic,shapes/circle/missing-cx-and-cy-attributes.svg,Missing `cx` and `cy` attributes,shapes/circle,circle|rect|svg,PASS,PASS,none,visual-match,0.001444,0.009221902017291067,0.08275466666666666,corpora/resvg-test-suite/svg/shapes/circle/missing-cx-and-cy-attributes.svg,corpora/resvg-test-suite/reference/shapes/circle/missing-cx-and-cy-attributes.png,assets/rendered/resvg-test-suite/shapes/circle/missing-cx-and-cy-attributes.png,assets/diff/resvg-test-suite/shapes/circle/missing-cx-and-cy-attributes.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/shapes/circle/missing-cx-and-cy-attributes.svg
resvg-test-suite,diagnostic,shapes/circle/missing-cx-attribute.svg,Missing `cx` attribute,shapes/circle,circle|rect|svg,PASS,PASS,none,visual-match,0.002848,0.00973568281938326,0.16283066666666668,corpora/resvg-test-suite/svg/shapes/circle/missing-cx-attribute.svg,corpora/resvg-test-suite/reference/shapes/circle/missing-cx-attribute.png,assets/rendered/resvg-test-suite/shapes/circle/missing-cx-attribute.png,assets/diff/resvg-test-suite/shapes/circle/missing-cx-attribute.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/shapes/circle/missing-cx-attribute.svg
resvg-test-suite,diagnostic,shapes/circle/missing-cy-attribute.svg,Missing `cy` attribute,shapes/circle,circle|rect|svg,PASS,PASS,none,visual-match,0.002852,0.0097503671071953,0.163,corpora/resvg-test-suite/svg/shapes/circle/missing-cy-attribute.svg,corpora/resvg-test-suite/reference/shapes/circle/missing-cy-attribute.png,assets/rendered/resvg-test-suite/shapes/circle/missing-cy-attribute.png,assets/diff/resvg-test-suite/shapes/circle/missing-cy-attribute.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/shapes/circle/missing-cy-attribute.svg
resvg-test-suite,diagnostic,shapes/circle/missing-r-attribute.svg,Missing `r` attribute,shapes/circle,circle|rect|svg,PASS,PASS,none,visual-match,0.006428,0.011708030517776906,0.376244,corpora/resvg-test-suite/svg/shapes/circle/missing-r-attribute.svg,corpora/resvg-test-suite/reference/shapes/circle/missing-r-attribute.png,assets/rendered/resvg-test-suite/shapes/circle/missing-r-attribute.png,assets/diff/resvg-test-suite/shapes/circle/missing-r-attribute.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/shapes/circle/missing-r-attribute.svg
resvg-test-suite,diagnostic,shapes/circle/negative-r-attribute.svg,Negative `r` attribute,shapes/circle,circle|rect|svg,FAIL,FAIL,visual-mismatch,visual-diff,0.507828,0.9552184795392178,64.27234133333333,corpora/resvg-test-suite/svg/shapes/circle/negative-r-attribute.svg,corpora/resvg-test-suite/reference/shapes/circle/negative-r-attribute.png,assets/rendered/resvg-test-suite/shapes/circle/negative-r-attribute.png,assets/diff/resvg-test-suite/shapes/circle/negative-r-attribute.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/shapes/circle/negative-r-attribute.svg
